Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
377,35,False,13,0,16,0,False,False,OTHL-PRE-377.html,
378,35,False,22,0,3,0,False,False,OTHL-PRE-378.html,
379,35,False,10,0,29,0,False,False,OTHL-PRE-379.html,
380,35,False,7,0,5,0,False,False,OTHL-PRE-380.html,
381,35,False,15,0,26,0,False,False,OTHL-PRE-381.html,
382,35,False,20,0,27,0,False,False,OTHL-PRE-382.html,
383,35,False,8,0,1,0,False,False,OTHL-PRE-383.html,
384,35,False,14,0,31,0,False,False,OTHL-PRE-384.html,
385,36,False,27,0,11,0,False,False,OTHL-PRE-385.html,
386,36,False,2,0,17,0,False,False,OTHL-PRE-386.html,
387,36,False,19,0,13,0,False,False,OTHL-PRE-387.html,
388,36,False,26,0,25,0,False,False,OTHL-PRE-388.html,
389,36,False,29,0,12,0,False,False,OTHL-PRE-389.html,
390,36,False,18,0,30,0,False,False,OTHL-PRE-390.html,
391,36,False,6,0,21,0,False,False,OTHL-PRE-391.html,
392,36,False,16,0,28,0,False,False,OTHL-PRE-392.html,
393,36,False,24,0,9,0,False,False,OTHL-PRE-393.html,
394,36,False,20,0,22,0,False,False,OTHL-PRE-394.html,
395,36,False,5,0,15,0,False,False,OTHL-PRE-395.html,
396,37,False,23,0,8,0,False,False,OTHL-PRE-396.html,
397,37,False,3,0,4,0,False,False,OTHL-PRE-397.html,
398,37,False,12,0,2,0,False,False,OTHL-PRE-398.html,
399,37,False,11,0,19,0,False,False,OTHL-PRE-399.html,
400,37,False,22,0,6,0,False,False,OTHL-PRE-400.html,
401,37,False,25,0,14,0,False,False,OTHL-PRE-401.html,
402,37,False,24,0,20,0,False,False,OTHL-PRE-402.html,
403,37,False,17,0,1,0,False,False,OTHL-PRE-403.html,
404,37,False,31,0,10,0,False,False,OTHL-PRE-404.html,
405,38,False,29,0,23,0,False,False,OTHL-PRE-405.html,
406,38,False,2,0,7,0,False,False,OTHL-PRE-406.html,
407,38,False,18,0,3,0,False,False,OTHL-PRE-407.html,
408,38,False,4,0,13,0,False,False,OTHL-PRE-408.html,
409,38,False,24,0,16,0,False,False,OTHL-PRE-409.html,
410,38,False,27,0,30,0,False,False,OTHL-PRE-410.html,
411,38,False,10,0,26,0,False,False,OTHL-PRE-411.html,
412,38,False,20,0,28,0,False,False,OTHL-PRE-412.html,
413,38,False,15,0,5,0,False,False,OTHL-PRE-413.html,
414,39,False,26,0,8,0,False,False,OTHL-PRE-414.html,
415,39,False,13,0,9,0,False,False,OTHL-PRE-415.html,
416,39,False,1,0,31,0,False,False,OTHL-PRE-416.html,
417,39,False,18,0,21,0,False,False,OTHL-PRE-417.html,
418,39,False,16,0,11,0,False,False,OTHL-PRE-418.html,
419,39,False,7,0,17,0,False,False,OTHL-PRE-419.html,
420,39,False,15,0,29,0,False,False,OTHL-PRE-420.html,
421,39,False,14,0,12,0,False,False,OTHL-PRE-421.html,
422,39,False,28,0,19,0,False,False,OTHL-PRE-422.html,
423,40,False,9,0,4,0,False,False,OTHL-PRE-423.html,
424,40,False,1,0,25,0,False,False,OTHL-PRE-424.html,
425,40,False,16,0,22,0,False,False,OTHL-PRE-425.html,
426,40,False,10,0,23,0,False,False,OTHL-PRE-426.html,
427,40,False,27,0,6,0,False,False,OTHL-PRE-427.html,
