Number,Transaction,DateTime,Empty
20215,Oilers placed Alex Petrovic on waivers.,2021-12-06 10:04:13 PM,
20216,Alex Petrovic of Oilers was sent down to farm.,2021-12-06 10:04:14 PM,
20217,Owen Tippett of Red Wings was sent to pro.,2021-12-06 10:04:14 PM,
20218,Oilers placed Dillon Simpson on waivers.,2021-12-06 10:04:14 PM,
20219,Dillon Simpson of Oilers was sent down to farm.,2021-12-06 10:04:15 PM,
20220,Successfully loaded Red Wings lines done with Web Base Client and SQLite Database.,2021-12-06 10:04:15 PM,
20221,Successfully loaded Oilers lines done with Web Base Client and SQLite Database.,2021-12-06 10:04:16 PM,
20222,Successfully loaded Panthers lines done with Web Base Client and SQLite Database.,2021-12-06 10:04:16 PM,
20223,Successfully loaded Senators lines done with Web Base Client and SQLite Database.,2021-12-06 10:04:16 PM,
20224,Successfully loaded Coyotes lines done with Web Base Client and SQLite Database.,2021-12-06 10:04:16 PM,
20225,Successfully loaded Golden Knights lines done with Web Base Client and SQLite Database.,2021-12-06 10:04:16 PM,
20226,Alexander Romanov of Wild was sent to pro.,2021-12-06 10:04:18 PM,
20227,Successfully loaded Wild lines done with STHS Client - 3.2.6.6,2021-12-06 10:04:18 PM,
20228,Successfully loaded Canadiens lines done with STHS Client - 3.3.0.0,2021-12-06 10:04:19 PM,
20229,Condors (Oilers) lines errors : Brian Lashoff is used twice in Normal line #2
Brian Lashoff is used twice PP in line#2
Brian Lashoff is used twice PK in line#2
Brian Lashoff is used twice 4 vs 4 in line#2
Brian Lashoff is used twice PK3 in line#2
Brian Lashoff is used twice in OT Defense
,2021-12-06 10:04:20 PM,
20230,Auto Lines Farm Function has been run for Condors.,2021-12-06 10:04:20 PM,
20231,Marlies roster errors : Too many Players available in Farm Team! 18 Dressed. Maximum is 17.
Some errors will be automatically fixed.
,2021-12-06 10:04:20 PM,
20232,Auto Roster Partial Function has been run for Maple Leafs.,2021-12-06 10:04:20 PM,
20233,Maple Leafs lines errors : Normal line # 3 Defense #3 is empty.
PK line 1 Defense #1 is empty.
PK3 line 1 Defense #1 is empty.
,2021-12-06 10:04:20 PM,
20234,Auto Lines Partial Function has been run for Maple Leafs.,2021-12-06 10:04:20 PM,
20235,Game 97 - Derek Stepan from Panthers is injured  (Torso) and is out for 4 days.,2021-12-06 10:04:27 PM,
20236,Game 98 - Blake Comeau from Capitals is injured  (Sprained Left Knee) and is out for 2 weeks.,2021-12-06 10:04:28 PM,
20237,Parker Kelly from Canucks has scored a Hat Trick!,2021-12-06 10:04:29 PM,
20238,Emil Bemstrom from Thunderbirds has scored a Hat Trick!,2021-12-06 10:04:29 PM,
20239,Gabriel Bourque from Marlies has scored a Hat Trick!,2021-12-06 10:04:30 PM,
20240,Logan Brown from Mariners has scored a Hat Trick!,2021-12-06 10:04:30 PM,
20241,Lukas Vejdemo from Moose has scored a Hat Trick!,2021-12-06 10:04:30 PM,
20242,Gulls lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 10:04:30 PM,
20243,Bruins lines for next game are empty. Current rosters/lines are not erased. But- Bruins lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-06 10:04:30 PM,
20244, Americans lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 10:04:30 PM,
20245,Checkers lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 10:04:30 PM,
20246,Eagles lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 10:04:30 PM,
20247,Stars lines for next game are empty. Current rosters/lines are not erased. But- Stars lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-06 10:04:30 PM,
20248,Admirals lines for next game are empty. Current rosters/lines are not erased.,2021-12-06 10:04:30 PM,
